ORDER NO	ITEMCODE	UPC CODE	STYLE	GROUP	TOTAL	RESERVED	CONFIRMED	BALANCE
ORD-00012629-5	30014640004	889652445472	SL 616-004	Optical Frame	1	1	0	0
ORD-00012629-5	30014748002	889652453668	SL 643-002	Optical Frame	1	1	0	0
ORD-00012629-5	30014748008	889652453729	SL 643-008	Optical Frame	1	1	0	0
ORD-00012629-5	30013313002	889652388373	SL M103 OPT-002	Optical Frame	1	1	0	0
ORD-00012629-5	30013317003	889652388809	SL M104 OPT-003	Optical Frame	1	1	0	0
ORD-00012629-5	30014324004	889652430874	SL M111-004	Optical Frame	1	1	0	0
ORD-00012629-5	30013753001	889652405322	SL M112-001	Optical Frame	1	1	0	0
ORD-00012629-5	30013754003	889652405360	SL M113-003	Optical Frame	1	1	0	0
ORD-00012629-5	30013754003	889652405360	SL M113-003	Optical Frame	1	1	0	0
ORD-00012629-4	30000973002	889652048369	GG0026O-002	Optical Frame	1	1	0	0
ORD-00012629-4	30000973014	889652470702	GG0026O-014	Optical Frame	1	1	0	0
ORD-00012629-4	30000973014	889652470702	GG0026O-014	Optical Frame	1	1	0	0
ORD-00012629-4	30007715001	889652235936	GG0524O-001	Optical Frame	1	1	0	0
ORD-00012629-4	30007715002	889652236070	GG0524O-002	Optical Frame	1	1	0	0
ORD-00012629-4	30007715002	889652236070	GG0524O-002	Optical Frame	1	1	0	0
ORD-00012629-4	30007715007	889652236643	GG0524O-007	Optical Frame	1	1	0	0
ORD-00012629-4	30007715007	889652236643	GG0524O-007	Optical Frame	1	1	0	0
ORD-00012629-4	30008926002	889652295350	GG0730O-002	Optical Frame	1	1	0	0
ORD-00012629-4	30008926005	889652295503	GG0730O-005	Optical Frame	1	1	0	0
ORD-00012629-4	30008926007	889652295541	GG0730O-007	Optical Frame	1	1	0	0
ORD-00012629-4	30008927002	889652295466	GG0731O-002	Optical Frame	1	1	0	0
ORD-00012629-4	30008927002	889652295466	GG0731O-002	Optical Frame	1	1	0	0
ORD-00012629-4	30008927003	889652295510	GG0731O-003	Optical Frame	1	1	0	0
ORD-00012629-4	30013475001	889652394305	GG1216O-001	Optical Frame	1	1	0	0
ORD-00012629-4	30013475003	889652394329	GG1216O-003	Optical Frame	2	2	0	0
ORD-00012629-4	30013839001	889652412207	GG1259O-001	Optical Frame	1	1	0	0
ORD-00012629-4	30013839004	889652412238	GG1259O-004	Optical Frame	1	1	0	0
ORD-00012629-4	30013838002	889652411613	GG1260OA-002	Optical Frame	2	2	0	0
ORD-00012629-4	30013838003	889652411620	GG1260OA-003	Optical Frame	1	1	0	0
ORD-00012629-4	30013951001	889652415871	GG1277OA-001	Optical Frame	1	1	0	0
ORD-00012629-4	30013951002	889652415888	GG1277OA-002	Optical Frame	2	2	0	0
ORD-00012629-4	30013951003	889652415895	GG1277OA-003	Optical Frame	1	1	0	0
ORD-00012629-4	30013848002	889652412535	GG1295O-002	Optical Frame	2	2	0	0
ORD-00012629-4	30013848003	889652428505	GG1295O-003	Optical Frame	1	1	0	0
ORD-00012629-4	30013879002	889652413136	GG1341O-002	Optical Frame	1	1	0	0
ORD-00012629-4	30013879004	889652413150	GG1341O-004	Optical Frame	1	1	0	0
ORD-00012629-4	30013872002	889652415017	GG1360O-002	Optical Frame	1	1	0	0
ORD-00012629-4	30013872002	889652415017	GG1360O-002	Optical Frame	1	1	0	0
ORD-00012629-4	30013872003	889652415024	GG1360O-003	Optical Frame	1	1	0	0
ORD-00012629-4	30013872004	889652415031	GG1360O-004	Optical Frame	1	1	0	0
ORD-00012629-4	30013872004	889652415031	GG1360O-004	Optical Frame	1	1	0	0
ORD-00012629-4	30014413002	889652440101	GG1405O-002	Optical Frame	1	1	0	0
ORD-00012629-4	30014418002	889652437934	GG1410O-002	Optical Frame	1	1	0	0
ORD-00012629-4	30014419002	889652440781	GG1411OK-002	Optical Frame	1	1	0	0
ORD-00012629-4	30014419003	889652440798	GG1411OK-003	Optical Frame	1	1	0	0
ORD-00012629-4	30014431003	889652438412	GG1433O-003	Optical Frame	1	1	0	0
ORD-00012629-4	30014469001	889652439631	GG1473OJ-001	Optical Frame	2	2	0	0
ORD-00012629-4	30014469002	889652439648	GG1473OJ-002	Optical Frame	1	1	0	0
ORD-00012629-4	30014469003	889652439655	GG1473OJ-003	Optical Frame	1	1	0	0
ORD-00012629-4	30014498002	889652441405	GG1476OK-002	Optical Frame	1	0	0	1
ORD-00012629-3	30013668003	889652406046	BV1179O-003	Optical Frame	1	1	0	0
ORD-00012629-3	30013668004	889652406053	BV1179O-004	Optical Frame	1	1	0	0
ORD-00012588-14	30010099001	889652333083	BC0118S-001	Sunglass	1	1	0	0
ORD-00012588-13	30009745002	889652316017	CH0002S-002	Sunglass	2	0	2	0
ORD-00012588-13	30009745003	889652316024	CH0002S-003	Sunglass	1	0	1	0
ORD-00012588-13	30009748001	889652316048	CH0001S-001	Sunglass	1	0	0	1
ORD-00012588-13	30009748002	889652316055	CH0001S-002	Sunglass	1	0	1	0
ORD-00012588-13	30009748004	889652316345	CH0001S-004	Sunglass	1	0	1	0
ORD-00012588-13	30009751004	889652316093	CH0003S-004	Sunglass	1	0	1	0
ORD-00012588-13	30009754001	889652315232	CH0024S-001	Sunglass	1	0	1	0
ORD-00012588-13	30009764002	889652315348	CH0026S-002	Sunglass	1	0	1	0
ORD-00012588-13	30009767002	889652316376	CH0042S-002	Sunglass	2	0	2	0
ORD-00012588-13	30009770001	889652316406	CH0041S-001	Sunglass	1	0	1	0
ORD-00012588-13	30009770003	889652316420	CH0041S-003	Sunglass	2	0	2	0
ORD-00012588-13	30009770004	889652316680	CH0041S-004	Sunglass	1	0	1	0
ORD-00012588-13	30009786001	889652315447	CH0036S-001	Sunglass	1	0	0	1
ORD-00012588-13	30009786004	889652315478	CH0036S-004	Sunglass	2	0	2	0
ORD-00012588-13	30009789001	889652315485	CH0029S-001	Sunglass	1	0	1	0
ORD-00012588-13	30009789004	889652315515	CH0029S-004	Sunglass	1	0	0	1
ORD-00012588-13	30009795006	889652353623	CH0031S-006	Sunglass	2	0	2	0
ORD-00012588-13	30009804004	889652316307	CH0009S-004	Sunglass	1	0	1	0
ORD-00012588-13	30009807001	889652315751	CH0014S-001	Sunglass	1	0	0	1
ORD-00012588-13	30009821001	889652316581	CH0028S-001	Sunglass	1	0	1	0
ORD-00012588-13	30009821003	889652316604	CH0028S-003	Sunglass	1	0	1	0
ORD-00012588-13	30009821004	889652316703	CH0028S-004	Sunglass	1	0	1	0
ORD-00012588-13	30010158002	889652324395	CH0047S-002	Sunglass	1	0	1	0
ORD-00012588-13	30010615003	889652333281	CC0001S-003	Sunglass	1	0	1	0
ORD-00012588-13	30010618007	889652488363	CC0004S-007	Sunglass	1	0	1	0
ORD-00012588-13	30011424001	889652349657	CH0076SK-001	Sunglass	1	0	1	0
ORD-00012588-13	30011424004	889652349770	CH0076SK-004	Sunglass	2	0	2	0
ORD-00012588-13	30011429001	889652351353	CH0063S-001	Sunglass	1	0	1	0
ORD-00012588-13	30011429002	889652351360	CH0063S-002	Sunglass	1	0	1	0
ORD-00012588-13	30011431001	889652349374	CH0054S-001	Sunglass	1	0	1	0
ORD-00012588-13	30011431002	889652349381	CH0054S-002	Sunglass	1	0	1	0
ORD-00012588-13	30011432001	889652351599	CH0065S-001	Sunglass	1	0	1	0
ORD-00012588-13	30011432002	889652351605	CH0065S-002	Sunglass	1	0	1	0
ORD-00012588-13	30011432003	889652351612	CH0065S-003	Sunglass	1	0	1	0
ORD-00012588-13	30011433003	889652351223	CH0067S-003	Sunglass	1	0	1	0
ORD-00012588-13	30011433004	889652351230	CH0067S-004	Sunglass	1	0	1	0
ORD-00012588-13	30011434001	889652351124	CH0068S-001	Sunglass	1	0	1	0
ORD-00012588-13	30011434002	889652351131	CH0068S-002	Sunglass	1	0	1	0
ORD-00012588-13	30011434003	889652351148	CH0068S-003	Sunglass	2	0	2	0
ORD-00012588-13	30011506004	889652351421	CH0064S-004	Sunglass	1	0	1	0
ORD-00012588-13	30013645002	889652402147	CH0129S-002	Sunglass	1	0	1	0
ORD-00012588-13	30014078001	889652422565	CH0153S-001	Sunglass	1	0	1	0
ORD-00012588-13	30014095001	889652423135	CH0164S-001	Sunglass	1	0	1	0
ORD-00012588-13	30014097001	889652424460	CH0183S-001	Sunglass	1	0	1	0
ORD-00012588-13	30014097003	889652424484	CH0183S-003	Sunglass	1	0	1	0
ORD-00012588-13	30014097004	889652424491	CH0183S-004	Sunglass	1	0	1	0
ORD-00012588-13	30014098001	889652423920	CH0177S-001	Sunglass	1	0	1	0
ORD-00012588-13	30014098002	889652423937	CH0177S-002	Sunglass	1	0	1	0
ORD-00012588-13	30014099001	889652424507	CH0184S-001	Sunglass	1	0	1	0
ORD-00012588-13	30014099004	889652424538	CH0184S-004	Sunglass	1	0	0	1
ORD-00012588-13	30014099005	889652485058	CH0184S-005	Sunglass	1	0	1	0
ORD-00012588-13	30014134001	889652423968	CH0178S-001	Sunglass	1	0	1	0
ORD-00012588-13	30014134003	889652423982	CH0178S-003	Sunglass	1	0	1	0
ORD-00012588-13	30014134004	889652423999	CH0178S-004	Sunglass	1	0	1	0
ORD-00012588-13	30015138004	889652482996	CH0237SK-004	Sunglass	1	0	1	0
ORD-00012588-13	30015140002	889652482897	CH0235S-002	Sunglass	1	0	1	0
ORD-00012588-13	30015142003	889652483177	CH0227S-003	Sunglass	1	0	1	0
ORD-00012588-13	30015143001	889652482705	CH0231S-001	Sunglass	1	0	1	0
ORD-00012588-13	30015143002	889652482712	CH0231S-002	Sunglass	1	0	1	0
ORD-00012588-13	30015143003	889652482729	CH0231S-003	Sunglass	1	0	1	0
ORD-00012588-13	30015144001	889652482668	CH0230S-001	Sunglass	1	0	1	0
ORD-00012588-13	30015144002	889652482675	CH0230S-002	Sunglass	1	0	1	0
ORD-00012588-13	30015152004	889652483146	CH0226S-004	Sunglass	1	0	1	0
ORD-00012588-13	30015197001	889652484662	CC0019S-001	Sunglass	1	0	1	0
ORD-00012588-13	30015197003	889652484686	CC0019S-003	Sunglass	1	0	1	0
ORD-00012588-13	30015197005	889652484709	CC0019S-005	Sunglass	1	0	1	0
ORD-00012588-10	30014178009	889652421902	MB0271S-009	Sunglass	1	1	0	0
ORD-00012588-10	30006660008	889652228556	MB0001S-008	Sunglass	2	2	0	0
ORD-00012588-10	30006688008	889652229119	MB0017S-008	Sunglass	1	1	0	0
ORD-00012588-10	30006700002	889652209562	MB0013S-002	Sunglass	1	1	0	0
ORD-00012588-10	30006704010	889652229430	MB0026S-010	Sunglass	1	1	0	0
ORD-00012588-10	30006716010	889652229300	MB0027S-010	Sunglass	1	1	0	0
ORD-00012588-10	30006842003	889652209050	MB0004S-003	Sunglass	1	1	0	0
ORD-00012588-10	30007938001	889652250021	MB0051S-001	Sunglass	1	1	0	0
ORD-00012588-10	30007938002	889652250151	MB0051S-002	Sunglass	2	2	0	0
ORD-00012588-10	30007938004	889652250441	MB0051S-004	Sunglass	2	2	0	0
ORD-00012588-10	30007938005	889652250533	MB0051S-005	Sunglass	2	2	0	0
ORD-00012588-10	30007960002	889652249711	MB0074S-002	Sunglass	1	1	0	0
ORD-00012588-10	30008461006	889652280509	MB0080S-006	Sunglass	1	1	0	0
ORD-00012588-10	30008462002	889652279497	MB0081S-002	Sunglass	1	1	0	0
ORD-00012588-10	30008464003	889652279763	MB0082S-003	Sunglass	1	1	0	0
ORD-00012588-10	30008465002	889652280172	MB0109S-002	Sunglass	1	1	0	0
ORD-00012588-10	30008472003	889652280424	MB0096S-003	Sunglass	1	1	0	0
ORD-00012588-10	30008472005	889652280561	MB0096S-005	Sunglass	1	1	0	0
ORD-00012588-10	30010115001	889652326726	MB0145S-001	Sunglass	1	1	0	0
ORD-00012588-10	30011371003	889652346328	MB0174S-003	Sunglass	1	1	0	0
ORD-00012588-10	30011373003	889652346380	MB0175S-003	Sunglass	1	1	0	0
ORD-00012588-10	30012064001	889652364988	MB0200S-001	Sunglass	2	2	0	0
ORD-00012588-10	30012064002	889652364995	MB0200S-002	Sunglass	2	2	0	0
ORD-00012588-10	30012064004	889652365145	MB0200S-004	Sunglass	1	1	0	0
ORD-00012588-10	30012067002	889652365015	MB0201S-002	Sunglass	2	2	0	0
ORD-00012588-10	30012067003	889652365022	MB0201S-003	Sunglass	2	2	0	0
ORD-00012588-10	30012076002	889652365312	MB0206S-002	Sunglass	3	3	0	0
ORD-00012588-10	30013540004	889652400266	MB0226S-004	Sunglass	2	2	0	0
ORD-00012588-10	30013541002	889652400082	MB0227S-002	Sunglass	1	1	0	0
ORD-00012588-10	30013555001	889652399263	MB0242S-001	Sunglass	2	2	0	0
ORD-00012588-10	30013555006	889652399874	MB0242S-006	Sunglass	1	1	0	0
ORD-00012588-10	30013562002	889652399461	MB0249S-002	Sunglass	1	1	0	0
ORD-00012588-10	30013564001	889652399171	MB0251O-001	Optical Frame	3	2	0	1
ORD-00012588-10	30014160001	889652426815	MB0254S-001	Sunglass	2	2	0	0
ORD-00012588-10	30014160002	889652426822	MB0254S-002	Sunglass	5	5	0	0
ORD-00012588-10	30014160003	889652426839	MB0254S-003	Sunglass	1	1	0	0
ORD-00012588-10	30014160004	889652426846	MB0254S-004	Sunglass	5	5	0	0
ORD-00012588-10	30014160005	889652426853	MB0254S-005	Sunglass	1	1	0	0
ORD-00012588-10	30014165002	889652421711	MB0263S-002	Sunglass	6	6	0	0
ORD-00012588-10	30014165003	889652421728	MB0263S-003	Sunglass	5	5	0	0
ORD-00012588-10	30014165004	889652421735	MB0263S-004	Sunglass	4	4	0	0
ORD-00012588-10	30014166001	889652424651	MB0264S-001	Sunglass	2	2	0	0
ORD-00012588-10	30014166002	889652424668	MB0264S-002	Sunglass	3	3	0	0
ORD-00012588-10	30014166003	889652424675	MB0264S-003	Sunglass	3	3	0	0
ORD-00012588-10	30014171002	889652421452	MB0260S-002	Sunglass	5	5	0	0
ORD-00012588-10	30014171004	889652421476	MB0260S-004	Sunglass	4	4	0	0
ORD-00012588-10	30014171005	889652421483	MB0260S-005	Sunglass	4	4	0	0
ORD-00012588-10	30014171006	889652421490	MB0260S-006	Sunglass	2	2	0	0
ORD-00012588-10	30014177003	889652421797	MB0270S-003	Sunglass	1	1	0	0
ORD-00012588-10	30014178008	889652421896	MB0271S-008	Sunglass	1	1	0	0
ORD-00012588-10	30014190001	889652423210	MB0281O-001	Optical Frame	4	4	0	0
ORD-00012588-10	30014580001	889652446844	MB0294S-001	Sunglass	1	1	0	0
ORD-00012588-10	30014580003	889652446868	MB0294S-003	Sunglass	1	1	0	0
ORD-00012588-10	30014581003	889652446905	MB0295S-003	Sunglass	1	1	0	0
ORD-00012588-10	30014581004	889652446912	MB0295S-004	Sunglass	2	2	0	0
ORD-00012588-10	30014584004	889652447049	MB0298S-004	Sunglass	2	2	0	0
ORD-00012588-10	30014585007	889652447124	MB0299S-007	Sunglass	4	4	0	0
ORD-00012588-10	30014585008	889652447131	MB0299S-008	Sunglass	2	2	0	0
ORD-00012588-10	30014586001	889652450056	MB0300O-001	Optical Frame	4	4	0	0
ORD-00012588-10	30014586004	889652450087	MB0300O-004	Optical Frame	1	1	0	0
ORD-00012588-10	30014587001	889652447155	MB0301O-001	Optical Frame	5	5	0	0
ORD-00012588-10	30014587004	889652447186	MB0301O-004	Optical Frame	3	2	0	1
ORD-00012588-10	30014588007	889652447292	MB0302S-007	Sunglass	1	1	0	0
ORD-00012588-10	30014588009	889652447315	MB0302S-009	Sunglass	1	1	0	0
ORD-00012588-10	30014591001	889652447407	MB0305O-001	Optical Frame	2	2	0	0
ORD-00012588-10	30014591005	889652447445	MB0305O-005	Optical Frame	5	5	0	0
ORD-00012588-10	30014593001	889652447568	MB0307O-001	Optical Frame	1	1	0	0
ORD-00012588-10	30014597001	889652447759	MB0311S-001	Sunglass	1	1	0	0
ORD-00012588-10	30014597002	889652447766	MB0311S-002	Sunglass	2	2	0	0
ORD-00012588-10	30014601001	889652446523	MB0289O-001	Optical Frame	3	3	0	0
ORD-00012588-10	30014601005	889652446561	MB0289O-005	Optical Frame	4	4	0	0
ORD-00012588-10	30014603002	889652446400	MB0287S-002	Sunglass	2	2	0	0
ORD-00012588-10	30014603003	889652446417	MB0287S-003	Sunglass	2	2	0	0
ORD-00012588-10	30015006005	889652477091	MB0320S-005	Sunglass	1	1	0	0
ORD-00012588-10	30015022002	889652477701	MB0336S-002	Sunglass	1	1	0	0
ORD-00012588-10	30015023004	889652477763	MB0338S-004	Sunglass	1	1	0	0
ORD-00012588-10	30015024003	889652477794	MB0339S-003	Sunglass	1	1	0	0
ORD-00012588-10	30015112004	889652477176	MB0324S-004	Sunglass	2	2	0	0
ORD-00012588-10	30015112005	889652477183	MB0324S-005	Sunglass	1	1	0	0
ORD-00012588-10	30014588004	889652447261	MB0302S-004	Sunglass	4	4	0	0
ORD-00012588-10	30014587002	889652447162	MB0301O-002	Optical Frame	5	4	0	1
ORD-00012588-10	30014171001	889652421445	MB0260S-001	Sunglass	3	3	0	0
ORD-00012588-10	30014584002	889652447025	MB0298S-002	Sunglass	1	1	0	0
ORD-00012588-10	30014580002	889652446851	MB0294S-002	Sunglass	1	1	0	0
ORD-00012588-10	30014171003	889652421469	MB0260S-003	Sunglass	1	1	0	0
ORD-00012588-9	30006534001	889652205809	BB0003S-001	Sunglass	1	1	0	0
ORD-00012588-9	30008237001	889652262246	BB0063O-001	Optical Frame	7	7	0	0
ORD-00012588-9	30008399001	889652273433	BB0079O-001	Optical Frame	10	9	0	1
ORD-00012588-9	30008871002	889652294063	BB0096S-002	Sunglass	3	3	0	0
ORD-00012588-9	30008871011	889652403595	BB0096S-011	Sunglass	6	6	0	0
ORD-00012588-9	30008978001	889652300351	BB0104O-001	Optical Frame	3	3	0	0
ORD-00012588-9	30008979001	889652300382	BB0105O-001	Optical Frame	8	8	0	0
ORD-00012588-9	30010017001	889652320267	BB0129O-001	Optical Frame	9	9	0	0
ORD-00012588-9	30010020001	889652320281	BB0128O-001	Optical Frame	10	10	0	0
ORD-00012588-9	30010020005	889652363547	BB0128O-005	Optical Frame	7	7	0	0
